class,method,line,metric,value
com.juancasimiro.mcpgateway.SpringMcpGatewayApplication,main,9,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.application.research.ResearchGateway,query,5,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.application.research.exception.InvalidResearchQuestionException,InvalidResearchQuestionException,5,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.config.RagClientConfiguration,ragRestClient,13,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.RagClient,RagClient,17,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.RagClient,query,22,CognitiveComplexity,2
com.juancasimiro.mcpgateway.integration.rag.RagClient,query,22,CyclomaticComplexity,5
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,RagClientRequestExecutor,29,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,hasCause,78,CognitiveComplexity,3
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,hasCause,78,CyclomaticComplexity,3
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,query,36,CognitiveComplexity,13
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,query,36,CyclomaticComplexity,13
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,toRequest,89,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,toResearchAnswer,98,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.exception.RagCircuitOpenException,RagCircuitOpenException,8,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.exception.RagContractException,RagContractException,12,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.exception.RagContractException,RagContractException,8,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.exception.RagException,RagException,5,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.exception.RagException,RagException,9,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.exception.RagRateLimitException,RagRateLimitException,8,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.exception.RagTimeoutException,RagTimeoutException,12,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.exception.RagTimeoutException,RagTimeoutException,8,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.exception.RagUnavailableException,RagUnavailableException,12,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.integration.rag.exception.RagUnavailableException,RagUnavailableException,8,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.mcp.QueryResearchCorpusTool,QueryResearchCorpusTool,26,CyclomaticComplexity,1
com.juancasimiro.mcpgateway.mcp.QueryResearchCorpusTool,query,34,CognitiveComplexity,3
com.juancasimiro.mcpgateway.mcp.QueryResearchCorpusTool,query,34,CyclomaticComplexity,6
com.juancasimiro.mcpgateway.mcp.QueryResearchCorpusTool,toResponse,65,CyclomaticComplexity,1
