class,method,descriptor,jacoco_cyclomatic,covered_lines,missed_lines,line_percent,crap_style
com.juancasimiro.mcpgateway.application.research.ResearchQuestion,<init>,(Ljava/lang/String;I)V,6,9,0,100.00,6.000
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,query,(Lcom/juancasimiro/mcpgateway/application/research/ResearchQuestion;)Lcom/juancasimiro/mcpgateway/application/research/ResearchAnswer;,5,21,0,100.00,5.000
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,hasCause,(Ljava/lang/Throwable;Ljava/lang/Class;)Z,3,6,0,100.00,3.000
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,lambda$query$0,(Lorg/springframework/http/HttpRequest;Lorg/springframework/http/client/ClientHttpResponse;)V,3,6,0,100.00,3.000
com.juancasimiro.mcpgateway.SpringMcpGatewayApplication,main,([Ljava/lang/String;)V,1,0,2,0.00,2.000
com.juancasimiro.mcpgateway.mcp.QueryResearchCorpusTool,query,(Ljava/lang/String;Ljava/lang/Integer;)Lcom/juancasimiro/mcpgateway/mcp/model/QueryResearchCorpusResponse;,2,9,0,100.00,2.000
com.juancasimiro.mcpgateway.SpringMcpGatewayApplication,<init>,()V,1,1,0,100.00,1.000
com.juancasimiro.mcpgateway.application.research.ResearchAnswer,<init>,(Ljava/lang/String;Ljava/util/List;ZLjava/lang/String;)V,1,1,0,100.00,1.000
com.juancasimiro.mcpgateway.application.research.exception.InvalidResearchQuestionException,<init>,(Ljava/lang/String;)V,1,2,0,100.00,1.000
com.juancasimiro.mcpgateway.config.RagClientConfiguration,<init>,()V,1,1,0,100.00,1.000
com.juancasimiro.mcpgateway.config.RagClientConfiguration,ragRestClient,(Lorg/springframework/web/client/RestClient$Builder;Lcom/juancasimiro/mcpgateway/config/RagProperties;)Lorg/springframework/web/client/RestClient;,1,7,0,100.00,1.000
com.juancasimiro.mcpgateway.config.RagProperties,<init>,(Ljava/net/URI;Ljava/time/Duration;Ljava/time/Duration;)V,1,1,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.RagClient,<init>,(Lcom/juancasimiro/mcpgateway/integration/rag/RagClientRequestExecutor;)V,1,3,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.RagClient,query,(Lcom/juancasimiro/mcpgateway/application/research/ResearchQuestion;)Lcom/juancasimiro/mcpgateway/application/research/ResearchAnswer;,1,5,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,<init>,(Lorg/springframework/web/client/RestClient;)V,1,3,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,toRequest,(Lcom/juancasimiro/mcpgateway/application/research/ResearchQuestion;)Lcom/juancasimiro/mcpgateway/integration/rag/dto/RagQueryRequest;,1,3,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.RagClientRequestExecutor,toResearchAnswer,(Lcom/juancasimiro/mcpgateway/integration/rag/dto/RagQueryResponse;)Lcom/juancasimiro/mcpgateway/application/research/ResearchAnswer;,1,5,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.dto.RagQueryRequest,<init>,(Ljava/lang/String;IZZ)V,1,1,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.dto.RagQueryResponse,<init>,(Ljava/lang/String;Ljava/util/List;ZLjava/lang/String;)V,1,1,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.exception.RagCircuitOpenException,<init>,(Ljava/lang/Throwable;)V,1,2,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.exception.RagContractException,<init>,()V,1,2,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.exception.RagContractException,<init>,(Ljava/lang/Throwable;)V,1,2,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.exception.RagException,<init>,(Ljava/lang/String;)V,1,2,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.exception.RagException,<init>,(Ljava/lang/String;Ljava/lang/Throwable;)V,1,2,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.exception.RagRateLimitException,<init>,(Ljava/lang/Throwable;)V,1,2,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.exception.RagTimeoutException,<init>,()V,1,2,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.exception.RagTimeoutException,<init>,(Ljava/lang/Throwable;)V,1,2,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.exception.RagUnavailableException,<init>,()V,1,2,0,100.00,1.000
com.juancasimiro.mcpgateway.integration.rag.exception.RagUnavailableException,<init>,(Ljava/lang/Throwable;)V,1,2,0,100.00,1.000
com.juancasimiro.mcpgateway.mcp.QueryResearchCorpusTool,<clinit>,()V,1,1,0,100.00,1.000
com.juancasimiro.mcpgateway.mcp.QueryResearchCorpusTool,<init>,(Lcom/juancasimiro/mcpgateway/application/research/ResearchGateway;)V,1,3,0,100.00,1.000
com.juancasimiro.mcpgateway.mcp.QueryResearchCorpusTool,toResponse,(Lcom/juancasimiro/mcpgateway/application/research/ResearchAnswer;)Lcom/juancasimiro/mcpgateway/mcp/model/QueryResearchCorpusResponse;,1,5,0,100.00,1.000
com.juancasimiro.mcpgateway.mcp.model.QueryResearchCorpusResponse,<init>,(Ljava/lang/String;Ljava/util/List;ZLjava/lang/String;)V,1,1,0,100.00,1.000
